team,name,position,number
ALG,Melvin Mastil,Goalkeeper,
ALG,Aissa Mandi,Defender,
ALG,Achref Abada,Defender,
ALG,Mohamed Tougai,Defender,
ALG,Zineddine Belaid,Defender,
ALG,Ramiz Zerrouki,Midfielder,
ALG,Riyad Mahrez,Forward,
ALG,Houssem Aouar,Midfielder,
ALG,Amine Gouiri,Forward,
ALG,Fares Chaibi,Midfielder,
ALG,Anis Hadj Moussa,Forward,
ALG,Nadhir Benbouali,Forward,
ALG,Jaouen Hadjam,Defender,
ALG,Hicham Boudaoui,Midfielder,
ALG,Rayan Ait-Nouri,Defender,
ALG,Oussama Benbot,Goalkeeper,
ALG,Rak Belghali,Defender,
ALG,Mohamed Amoura,Forward,
ALG,Nabil Bentaleb,Midfielder,
ALG,Adil Boulbina,Forward,
ALG,Ramy Bensebaini,Defender,
ALG,Ibrahim Maza,Midfielder,
ALG,Luca Zidane,Goalkeeper,
ALG,Yassine Titraoui,Midfielder,
ALG,Fares Ghedjemis,Forward,
ALG,Samir Chergui,Defender,
ARG,Juan Musso,Goalkeeper,
ARG,Leonardo Balerdi,Defender,
ARG,Nicolas Tagliafico,Defender,
ARG,Gonzalo Montiel,Defender,
ARG,Leandro Paredes,Midfielder,
ARG,Lisandro Martinez,Defender,
ARG,Rodrigo De Paul,Midfielder,
ARG,Valentin Barco,Midfielder,
ARG,Julian Alvarez,Forward,
ARG,Lionel Messi,Forward,
ARG,Giovani Lo Celso,Midfielder,
ARG,Geronimo Rulli,Goalkeeper,
ARG,Cristian Romero,Defender,
ARG,Exequiel Palacios,Midfielder,
ARG,Nico Gonzalez,Midfielder,
ARG,Thiago Almada,Forward,
ARG,Giuliano Simeone,Forward,
ARG,Nico Paz,Forward,
ARG,Nicolas Otamendi,Defender,
ARG,Alexis Mac Allister,Midfielder,
ARG,Jose Lopez,Forward,
ARG,Lautaro Martinez,Forward,
ARG,Emiliano Martinez,Goalkeeper,
ARG,Enzo Fernandez,Midfielder,
ARG,Facundo Medina,Defender,
ARG,Nahuel Molina,Defender,
AUS,Mathew Ryan,Goalkeeper,
AUS,Milos Degenek,Defender,
AUS,Alessandro Circati,Defender,
AUS,Jacob Italiano,Defender,
AUS,Jordan Bos,Defender,
AUS,Jason Geria,Defender,
AUS,Mathew Leckie,Forward,
AUS,Connor Metcalfe,Midfielder,
AUS,Mohamed Toure,Forward,
AUS,Ajdin Hrustic,Forward,
AUS,Awer Mabil,Forward,
AUS,Paul Izzo,Goalkeeper,
AUS,Aiden Oneill,Midfielder,
AUS,Cameron Devlin,Midfielder,
AUS,Kai Trewin,Defender,
AUS,Aziz Behich,Defender,
AUS,Nestory Irankunda,Forward,
AUS,Patrick Beach,Goalkeeper,
AUS,Harry Souttar,Defender,
AUS,Cristian Volpato,Forward,
AUS,Cameron Burgess,Defender,
AUS,Jackson Irvine,Midfielder,
AUS,Nishan Velupillay,Forward,
AUS,Paul Okon-Engstler,Midfielder,
AUS,Lucas Herrington,Defender,
AUS,Tete Yengi,Forward,
AUT,Alexander Schlager,Goalkeeper,
AUT,David Affengruber,Defender,
AUT,Kevin Danso,Defender,
AUT,Xaver Schlager,Midfielder,
AUT,Stefan Posch,Defender,
AUT,Nicolas Seiwald,Midfielder,
AUT,Marko Arnautovic,Forward,
AUT,David Alaba,Defender,
AUT,Marcel Sabitzer,Midfielder,
AUT,Florian Grillitsch,Midfielder,
AUT,Michael Gregoritsch,Forward,
AUT,Florian Wiegele,Goalkeeper,
AUT,Patrick Pentz,Goalkeeper,
AUT,Sasa Kalajdzic,Forward,
AUT,Philipp Lienhart,Defender,
AUT,Phillip Mwene,Defender,
AUT,Carney Chukwuemeka,Midfielder,
AUT,Romano Schmid,Midfielder,
AUT,Dejan Ljubicic,Midfielder,
AUT,Konrad Laimer,Midfielder,
AUT,Patrick Wimmer,Forward,
AUT,Alexander Prass,Midfielder,
AUT,Marco Friedl,Defender,
AUT,Paul Wanner,Midfielder,
AUT,Michael Svoboda,Defender,
AUT,Alessandro Schoepf,Midfielder,
BEL,Thibaut Courtois,Goalkeeper,
BEL,Zeno Debast,Defender,
BEL,Arthur Theate,Defender,
BEL,Brandon Mechele,Defender,
BEL,Maxim De Cuyper,Defender,
BEL,Axel Witsel,Midfielder,
BEL,Kevin De Bruyne,Midfielder,
BEL,Youri Tielemans,Midfielder,
BEL,Romelu Lukaku,Forward,
BEL,Leandro Trossard,Forward,
BEL,Jeremy Doku,Forward,
BEL,Senne Lammens,Goalkeeper,
BEL,Mike Penders,Goalkeeper,
BEL,Dodi Lukebakio,Forward,
BEL,Thomas Meunier,Defender,
BEL,Koni De Winter,Defender,
BEL,Charles De Ketelaere,Forward,
BEL,Joaquin Seys,Defender,
BEL,Diego Moreira,Midfielder,
BEL,Hans Vanaken,Midfielder,
BEL,Timothy Castagne,Defender,
BEL,Alexis Saelemaekers,Midfielder,
BEL,Nicolas Raskin,Midfielder,
BEL,Amadou Onana,Midfielder,
BEL,Nathan Ngoy,Defender,
BEL,Matias Fernandez-Pardo,Forward,
BIH,Nikola Vasilj,Goalkeeper,
BIH,Nihad Mujakic,Defender,
BIH,Dennis Hadzikadunic,Defender,
BIH,Tarik Muharemovic,Defender,
BIH,Sead Kolasinac,Defender,
BIH,Benjamin Tahirovic,Midfielder,
BIH,Amar Dedic,Defender,
BIH,Armin Gigovic,Midfielder,
BIH,Samed Bazdar,Forward,
BIH,Ermedin Demirovic,Forward,
BIH,Edin Dzeko,Forward,
BIH,Mladen Jurkas,Goalkeeper,
BIH,Ivan Basic,Midfielder,
BIH,Ivan Sunjic,Midfielder,
BIH,Amar Memic,Midfielder,
BIH,Amir Hadziahmetovic,Midfielder,
BIH,Dzenis Burnic,Midfielder,
BIH,Nikola Katic,Defender,
BIH,Kerim Alajbegovic,Forward,
BIH,Esmir Bajraktarevic,Forward,
BIH,Stjepan Radeljic,Defender,
BIH,Martin Zlomislic,Goalkeeper,
BIH,Haris Tabakovic,Forward,
BIH,Nidal Celik,Defender,
BIH,Jovo Lukic,Forward,
BIH,Ermin Mahmic,Midfielder,
BRA,Álisson Alisson,Goalkeeper,
BRA,Éderson Ederson Silva,Midfielder,
BRA,Gabriel Gabriel Magalhaes,Defender,
BRA,Marcos Marquinhos,Defender,
BRA,Carlos Casemiro,Midfielder,
BRA,Alex Alex Sandro,Defender,
BRA,Vinicius Vinicius Junior,Forward,
BRA,Bruno Bruno Guimaraes,Midfielder,
BRA,Matheus Matheus Cunha,Forward,
BRA,Neymar Neymar Jr,Forward,
BRA,Raphael Raphinha,Forward,
BRA,Weverton Weverton,Goalkeeper,
